filename,adaptivegreedy___hs_exact,adaptivegreedy_ku__hs_exact,adaptivegreedy_kv__hs_exact,adaptivegreedy_ku_kv__hs_exact,adaptivegreedy_ke__hs_exact,adaptivegreedy_ku_ke__hs_exact,adaptivegreedy_kv_ke__hs_exact,adaptivegreedy_ku_kv_ke__hs_exact,greedy___hs_exact,greedy_ku__hs_exact,greedy_kv__hs_exact,greedy_ku_kv__hs_exact,greedy_ke__hs_exact,greedy_ku_ke__hs_exact,greedy_kv_ke__hs_exact,greedy_ku_kv_ke__hs_exact
exact_001.hgr,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0
exact_002.hgr,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0,245.0
exact_003.hgr,145.0,145.0,145.0,145.0,145.0,145.0,144.0,144.0,144.0,144.0,144.0,147.0,144.0,144.0,145.0,145.0
exact_004.hgr,148.0,148.0,147.0,147.0,25.0,25.0,25.0,25.0,151.0,151.0,151.0,151.0,25.0,25.0,25.0,25.0
exact_005.hgr,2437.0,2437.0,2437.0,2437.0,2437.0,2437.0,2437.0,2437.0,2469.0,2469.0,2469.0,2469.0,2469.0,2469.0,2469.0,2469.0
exact_006.hgr,246.0,246.0,246.0,246.0,246.0,246.0,246.0,246.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0
exact_007.hgr,145.0,145.0,145.0,145.0,145.0,145.0,145.0,145.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0,147.0
exact_008.hgr,242.0,242.0,242.0,242.0,242.0,242.0,241.0,241.0,246.0,246.0,246.0,247.0,246.0,246.0,245.0,245.0
exact_009.hgr,2288.0,2288.0,2273.0,2234.0,2149.0,2149.0,2073.0,2062.0,2316.0,2316.0,2313.0,2261.0,2184.0,2184.0,2103.0,2103.0
exact_010.hgr,1816.0,1816.0,1812.0,1802.0,1693.0,1693.0,1648.0,1640.0,1855.0,1855.0,1859.0,1810.0,1719.0,1719.0,1673.0,1673.0
exact_011.hgr,239.0,239.0,239.0,239.0,239.0,239.0,238.0,238.0,242.0,242.0,242.0,242.0,242.0,242.0,241.0,241.0
exact_012.hgr,244.0,244.0,244.0,244.0,244.0,244.0,244.0,244.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0,249.0
exact_013.hgr,243.0,243.0,243.0,243.0,243.0,243.0,243.0,243.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0
exact_014.hgr,1534.0,1534.0,1531.0,1515.0,1451.0,1451.0,1416.0,1411.0,1559.0,1559.0,1562.0,1529.0,1474.0,1474.0,1438.0,1438.0
exact_015.hgr,149.0,149.0,149.0,149.0,26.0,26.0,26.0,26.0,147.0,147.0,147.0,147.0,28.0,28.0,28.0,28.0
exact_016.hgr,242.0,242.0,242.0,242.0,242.0,242.0,242.0,242.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0,247.0
