filename,greedy_ku_kv_ke_lst__hse,greedy_ku_kv_ke__hse,greedy___hse,greedy_ku_kv_ke_lsr__hse,adaptiveGreedy_ku_kv_ke_lst__hse,vc10000_ku_kv_ke_lslp__hse
exact_001.hgr,1.0622222222222222,1.0755555555555556,1.0844444444444443,1.0355555555555556,1.0711111111111111,1.04
exact_002.hgr,1.08,1.0977777777777775,1.0977777777777775,1.0355555555555556,1.0622222222222222,1.0533333333333332
exact_003.hgr,1.0285714285714285,1.042857142857143,1.0642857142857145,1.0214285714285714,1.0214285714285714,1.0214285714285714
exact_004.hgr,1.0416666666666667,1.0555555555555556,1.0347222222222223,1.0069444444444444,1.0416666666666667,1.0138888888888888
exact_005.hgr,1.072304995617879,1.0832602979842243,1.0832602979842243,1.0666082383873794,1.0674846625766872,1.14022787028922
exact_006.hgr,1.0844444444444443,1.0977777777777775,1.0977777777777775,1.0444444444444445,1.0888888888888888,1.0355555555555556
exact_007.hgr,1.0441176470588236,1.0808823529411764,1.0808823529411764,1.0147058823529411,1.0514705882352942,1.0294117647058822
exact_008.hgr,1.0666666666666669,1.1022222222222222,1.0977777777777775,1.022222222222222,1.0844444444444443,1.0355555555555556
exact_009.hgr,1.0979055041402823,1.1110569897710667,1.1412566975158305,1.0993667803214808,1.090112031173892,1.0589381393083293
exact_010.hgr,1.103280680437424,1.109356014580802,1.1445929526123937,1.097812879708384,1.088699878493317,1.062575941676792
exact_011.hgr,1.0533333333333332,1.08,1.0933333333333333,1.0355555555555556,1.0577777777777777,1.0266666666666666
exact_012.hgr,1.0577777777777777,1.0888888888888888,1.0888888888888888,1.0444444444444445,1.0666666666666669,1.04
exact_013.hgr,1.0977777777777775,1.1111111111111112,1.1111111111111112,1.0533333333333332,1.08,1.0266666666666666
exact_014.hgr,1.1088534107402033,1.1226415094339623,1.1335268505079823,1.1037735849056605,1.09288824383164,1.058055152394775
exact_015.hgr,1.0283687943262412,1.0567375886524824,1.049645390070922,1.0141843971631206,1.0283687943262412,1.0141843971631206
exact_016.hgr,1.0711111111111111,1.08,1.08,1.04,1.0755555555555556,1.022222222222222
exact_017.hgr,1.099337748344371,1.1120733571064696,1.1482424859908305,1.0952623535404993,1.0957717778909832,1.0662251655629138
exact_018.hgr,1.0533333333333332,1.0711111111111111,1.0888888888888888,1.04,1.0711111111111111,1.031111111111111
exact_019.hgr,1.0622222222222222,1.0844444444444443,1.1244444444444444,1.0533333333333332,1.1022222222222222,1.04
exact_020.hgr,1.088667366211962,1.1044071353620146,1.137460650577125,1.088667366211962,1.09601259181532,1.088667366211962
exact_021.hgr,1.0708333333333333,1.0838541666666666,1.0838541666666666,1.0692708333333334,1.0645833333333334,1.1177083333333333
exact_022.hgr,1.091635588705381,1.1028236547682473,1.1390516782099094,1.0911028236547682,1.0868407032498668,1.038359083644113
exact_023.hgr,1.0925373134328358,1.1144278606965174,1.1293532338308458,1.0845771144278606,1.0985074626865672,1.055721393034826
exact_024.hgr,1.0622222222222222,1.0844444444444443,1.0844444444444443,1.0355555555555556,1.0622222222222222,1.0266666666666666
exact_025.hgr,1.0755555555555556,1.0888888888888888,1.0888888888888888,1.0533333333333332,1.08,1.0444444444444445
exact_026.hgr,1.091365920511649,1.1068981269986296,1.141160347190498,1.0950205573321152,1.093193238921882,1.0616719963453631
exact_027.hgr,1.0844444444444443,1.1022222222222222,1.0977777777777775,1.0444444444444445,1.0711111111111111,1.0266666666666666
exact_028.hgr,1.1019955654101996,1.1130820399113082,1.1263858093126389,1.0776053215077606,1.08980044345898,1.033259423503326
exact_029.hgr,1.0364963503649636,1.072992700729927,1.072992700729927,1.0072992700729928,1.0437956204379562,1.0072992700729928
exact_030.hgr,1.0898876404494382,1.111610486891386,1.1393258426966293,1.0868913857677902,1.100374531835206,1.0599250936329587
exact_031.hgr,1.048888888888889,1.0711111111111111,1.0711111111111111,1.0355555555555556,1.0666666666666669,1.0266666666666666
exact_032.hgr,1.048888888888889,1.0888888888888888,1.0888888888888888,1.0355555555555556,1.0755555555555556,1.031111111111111
exact_033.hgr,1.034965034965035,1.034965034965035,1.020979020979021,1.0,1.020979020979021,1.006993006993007
exact_034.hgr,1.0444444444444445,1.0666666666666669,1.0888888888888888,1.0355555555555556,1.0711111111111111,1.048888888888889
exact_035.hgr,1.0150375939849623,1.045112781954887,1.045112781954887,1.0150375939849623,1.037593984962406,1.0225563909774436
exact_036.hgr,1.0666666666666669,1.0755555555555556,1.0755555555555556,1.0444444444444445,1.0533333333333332,1.0355555555555556
exact_037.hgr,1.0964824120603016,1.1085427135678392,1.1306532663316582,1.0894472361809044,1.0984924623115575,1.0472361809045223
exact_038.hgr,1.0533333333333332,1.0533333333333332,1.0844444444444443,1.0355555555555556,1.0711111111111111,1.0355555555555556
exact_039.hgr,1.0817490494296578,1.0922053231939164,1.1226235741444868,1.0665399239543727,1.0846007604562735,1.0285171102661597
exact_040.hgr,1.0822956145100162,1.095831077422848,1.140768814293449,1.083919870059556,1.0801299404439633,1.063345966432052
exact_041.hgr,1.0223880597014925,1.044776119402985,1.044776119402985,1.007462686567164,1.0671641791044777,1.0149253731343284
exact_042.hgr,1.0622222222222222,1.0666666666666669,1.0666666666666669,1.048888888888889,1.0622222222222222,1.0444444444444445
exact_043.hgr,1.0359712230215827,1.079136690647482,1.079136690647482,1.014388489208633,1.0287769784172662,1.014388489208633
exact_044.hgr,1.106628242074928,1.11671469740634,1.1498559077809798,1.0907780979827089,1.0864553314121037,1.0446685878962536
exact_045.hgr,1.1035353535353536,1.1195286195286196,1.1355218855218856,1.085016835016835,1.0917508417508417,1.053030303030303
exact_046.hgr,1.0577777777777777,1.0666666666666669,1.0977777777777775,1.048888888888889,1.0888888888888888,1.0355555555555556
exact_047.hgr,1.0206896551724138,1.0413793103448277,1.0482758620689656,1.006896551724138,1.0344827586206895,1.0206896551724138
exact_048.hgr,1.0844444444444443,1.1022222222222222,1.0977777777777775,1.04,1.0711111111111111,1.0177777777777777
exact_049.hgr,1.0734375,1.0864583333333333,1.0953125,1.0651041666666667,1.0692708333333334,1.1260416666666666
exact_050.hgr,1.0291970802919708,1.0364963503649636,1.0364963503649636,1.0218978102189782,1.0218978102189782,1.0145985401459854
exact_051.hgr,1.08,1.106666666666667,1.08,1.0533333333333332,1.0622222222222222,1.0266666666666666
exact_052.hgr,1.0666666666666669,1.0888888888888888,1.0888888888888888,1.04,1.0977777777777775,1.0444444444444445
