filename,greedy__generated_nm5degm250,adaptiveGreedy__generated_nm5degm250
250000_0000.hgr,6120.0,5595.0
250000_0001.hgr,6091.0,5618.0
250000_0002.hgr,6147.0,5677.0
250000_0003.hgr,6073.0,5567.0
250000_0004.hgr,6105.0,5642.0
250000_0005.hgr,6161.0,5692.0
250000_0006.hgr,6147.0,5662.0
250000_0007.hgr,6123.0,5612.0
250000_0008.hgr,6173.0,5664.0
250000_0009.hgr,6149.0,5652.0
250000_0010.hgr,6147.0,5658.0
250000_0011.hgr,6181.0,5636.0
250000_0012.hgr,6052.0,5649.0
250000_0013.hgr,6194.0,5630.0
250000_0014.hgr,6107.0,5642.0
250000_0015.hgr,6158.0,5640.0
250000_0016.hgr,6150.0,5728.0
250000_0017.hgr,6128.0,5646.0
250000_0018.hgr,6103.0,5607.0
250000_0019.hgr,6139.0,5673.0
250000_0020.hgr,6129.0,5684.0
250000_0021.hgr,6152.0,5660.0
250000_0022.hgr,6127.0,5631.0
250000_0023.hgr,6086.0,5605.0
250000_0024.hgr,6158.0,5648.0
250000_0025.hgr,6159.0,5632.0
250000_0026.hgr,6172.0,5659.0
250000_0027.hgr,6150.0,5680.0
250000_0028.hgr,6103.0,5631.0
250000_0029.hgr,6147.0,5602.0
250000_0030.hgr,6062.0,5633.0
250000_0031.hgr,6193.0,5651.0
250000_0032.hgr,6124.0,5589.0
250000_0033.hgr,6096.0,5631.0
250000_0034.hgr,6053.0,5557.0
250000_0035.hgr,6141.0,5655.0
250000_0036.hgr,6142.0,5610.0
250000_0037.hgr,6122.0,5643.0
250000_0038.hgr,6142.0,5657.0
250000_0039.hgr,6177.0,5702.0
250000_0040.hgr,6112.0,5639.0
250000_0041.hgr,6117.0,5661.0
250000_0042.hgr,6092.0,5631.0
250000_0043.hgr,6099.0,5587.0
250000_0044.hgr,6102.0,5609.0
250000_0045.hgr,6136.0,5632.0
250000_0046.hgr,6093.0,5632.0
250000_0047.hgr,6131.0,5639.0
250000_0048.hgr,6157.0,5664.0
250000_0049.hgr,6145.0,5656.0
AVERAGE,6129.34,5640.0
