filename,greedy__super_simple
200_0000.hgr,32.0
200_0001.hgr,33.0
200_0002.hgr,34.0
200_0003.hgr,30.0
200_0004.hgr,31.0
200_0005.hgr,28.0
200_0006.hgr,31.0
200_0007.hgr,28.0
200_0008.hgr,33.0
200_0009.hgr,31.0
200_0010.hgr,31.0
200_0011.hgr,29.0
200_0012.hgr,30.0
200_0013.hgr,33.0
200_0014.hgr,30.0
200_0015.hgr,31.0
200_0016.hgr,31.0
200_0017.hgr,32.0
200_0018.hgr,33.0
200_0019.hgr,31.0
200_0020.hgr,34.0
200_0021.hgr,28.0
200_0022.hgr,31.0
200_0023.hgr,32.0
200_0024.hgr,26.0
200_0025.hgr,31.0
200_0026.hgr,28.0
200_0027.hgr,30.0
200_0028.hgr,30.0
200_0029.hgr,33.0
200_0030.hgr,30.0
200_0031.hgr,31.0
200_0032.hgr,29.0
200_0033.hgr,29.0
200_0034.hgr,28.0
200_0035.hgr,33.0
200_0036.hgr,30.0
200_0037.hgr,31.0
200_0038.hgr,28.0
200_0039.hgr,28.0
200_0040.hgr,29.0
200_0041.hgr,34.0
200_0042.hgr,33.0
200_0043.hgr,34.0
200_0044.hgr,35.0
200_0045.hgr,34.0
200_0046.hgr,27.0
200_0047.hgr,28.0
200_0048.hgr,32.0
200_0049.hgr,27.0
200_0050.hgr,31.0
200_0051.hgr,30.0
200_0052.hgr,33.0
200_0053.hgr,32.0
200_0054.hgr,29.0
200_0055.hgr,32.0
200_0056.hgr,30.0
200_0057.hgr,33.0
200_0058.hgr,31.0
200_0059.hgr,29.0
200_0060.hgr,32.0
200_0061.hgr,28.0
200_0062.hgr,31.0
200_0063.hgr,30.0
200_0064.hgr,30.0
200_0065.hgr,29.0
200_0066.hgr,28.0
200_0067.hgr,32.0
200_0068.hgr,30.0
200_0069.hgr,28.0
200_0070.hgr,30.0
200_0071.hgr,28.0
200_0072.hgr,33.0
200_0073.hgr,31.0
200_0074.hgr,29.0
200_0075.hgr,33.0
200_0076.hgr,32.0
200_0077.hgr,28.0
200_0078.hgr,31.0
200_0079.hgr,27.0
200_0080.hgr,35.0
200_0081.hgr,32.0
200_0082.hgr,29.0
200_0083.hgr,27.0
200_0084.hgr,31.0
200_0085.hgr,31.0
200_0086.hgr,29.0
200_0087.hgr,30.0
200_0088.hgr,33.0
200_0089.hgr,35.0
200_0090.hgr,29.0
200_0091.hgr,27.0
200_0092.hgr,31.0
200_0093.hgr,33.0
200_0094.hgr,26.0
200_0095.hgr,31.0
200_0096.hgr,32.0
200_0097.hgr,31.0
200_0098.hgr,28.0
200_0099.hgr,29.0
AVERAGE,30.54
