filename,n1024000_m64000__greedy_explore
random_i0_n1024000_m64000.hgr,17029.0
random_i10_n1024000_m64000.hgr,16892.0
random_i11_n1024000_m64000.hgr,16829.0
random_i12_n1024000_m64000.hgr,16847.0
random_i13_n1024000_m64000.hgr,16905.0
random_i14_n1024000_m64000.hgr,16743.0
random_i15_n1024000_m64000.hgr,16955.0
random_i16_n1024000_m64000.hgr,16906.0
random_i17_n1024000_m64000.hgr,16910.0
random_i18_n1024000_m64000.hgr,16845.0
random_i19_n1024000_m64000.hgr,16872.0
random_i1_n1024000_m64000.hgr,16913.0
random_i20_n1024000_m64000.hgr,16892.0
random_i21_n1024000_m64000.hgr,16874.0
random_i22_n1024000_m64000.hgr,16870.0
random_i23_n1024000_m64000.hgr,16931.0
random_i24_n1024000_m64000.hgr,16981.0
random_i25_n1024000_m64000.hgr,16848.0
random_i26_n1024000_m64000.hgr,16989.0
random_i27_n1024000_m64000.hgr,16835.0
random_i28_n1024000_m64000.hgr,16886.0
random_i29_n1024000_m64000.hgr,16858.0
random_i2_n1024000_m64000.hgr,16849.0
random_i3_n1024000_m64000.hgr,16848.0
random_i4_n1024000_m64000.hgr,16790.0
random_i5_n1024000_m64000.hgr,16888.0
random_i6_n1024000_m64000.hgr,16874.0
random_i7_n1024000_m64000.hgr,16840.0
random_i8_n1024000_m64000.hgr,16860.0
random_i9_n1024000_m64000.hgr,16923.0
AVERAGE,16882.733333333334
