filename,n1024000_m64000__greedy_lsr100000x5_flat_explore
random_i0_n1024000_m64000.hgr,16194.0
random_i10_n1024000_m64000.hgr,16122.0
random_i11_n1024000_m64000.hgr,16052.0
random_i12_n1024000_m64000.hgr,16063.0
random_i13_n1024000_m64000.hgr,16146.0
random_i14_n1024000_m64000.hgr,16046.0
random_i15_n1024000_m64000.hgr,16234.0
random_i16_n1024000_m64000.hgr,16129.0
random_i17_n1024000_m64000.hgr,16163.0
random_i18_n1024000_m64000.hgr,16090.0
random_i19_n1024000_m64000.hgr,16092.0
random_i1_n1024000_m64000.hgr,16136.0
random_i20_n1024000_m64000.hgr,16142.0
random_i21_n1024000_m64000.hgr,16100.0
random_i22_n1024000_m64000.hgr,16125.0
random_i23_n1024000_m64000.hgr,16175.0
random_i24_n1024000_m64000.hgr,16206.0
random_i25_n1024000_m64000.hgr,16096.0
random_i26_n1024000_m64000.hgr,16202.0
random_i27_n1024000_m64000.hgr,16091.0
random_i28_n1024000_m64000.hgr,16153.0
random_i29_n1024000_m64000.hgr,16117.0
random_i2_n1024000_m64000.hgr,16080.0
random_i3_n1024000_m64000.hgr,16124.0
random_i4_n1024000_m64000.hgr,16038.0
random_i5_n1024000_m64000.hgr,16152.0
random_i6_n1024000_m64000.hgr,16133.0
random_i7_n1024000_m64000.hgr,16095.0
random_i8_n1024000_m64000.hgr,16092.0
random_i9_n1024000_m64000.hgr,16135.0
AVERAGE,16124.1
