filename,n4000_m1024000__adaptiveGreedy_explore
random_i0_n4000_m1024000.hgr,3.639661195021141
random_i10_n4000_m1024000.hgr,3.3798886485436515
random_i11_n4000_m1024000.hgr,2.5347165265095954
random_i12_n4000_m1024000.hgr,2.5473526738177
random_i13_n4000_m1024000.hgr,2.5354499829208668
random_i14_n4000_m1024000.hgr,2.5461277904641824
random_i15_n4000_m1024000.hgr,2.566334696751907
random_i16_n4000_m1024000.hgr,2.63402992298396
random_i17_n4000_m1024000.hgr,2.469348766870726
random_i18_n4000_m1024000.hgr,2.6424370746715122
random_i19_n4000_m1024000.hgr,2.595998713025807
random_i1_n4000_m1024000.hgr,2.541301823258251
random_i20_n4000_m1024000.hgr,2.7444051231025406
random_i21_n4000_m1024000.hgr,2.648052941538759
random_i22_n4000_m1024000.hgr,2.549189621158909
random_i23_n4000_m1024000.hgr,2.514591715586287
random_i24_n4000_m1024000.hgr,2.509964415974348
random_i25_n4000_m1024000.hgr,2.611802712295591
random_i26_n4000_m1024000.hgr,2.6015855422240524
random_i27_n4000_m1024000.hgr,2.514277097562022
random_i28_n4000_m1024000.hgr,2.588717283147211
random_i29_n4000_m1024000.hgr,2.5828218186612797
random_i2_n4000_m1024000.hgr,2.4767734407843642
random_i3_n4000_m1024000.hgr,2.425701115143708
random_i4_n4000_m1024000.hgr,2.444964148341801
random_i5_n4000_m1024000.hgr,2.516633732181825
random_i6_n4000_m1024000.hgr,2.471266415042407
random_i7_n4000_m1024000.hgr,2.4659338976169134
random_i8_n4000_m1024000.hgr,2.4299724456881506
random_i9_n4000_m1024000.hgr,2.5169661282379425
AVERAGE,2.6082089136375806
