filename,n4000_m4000__adaptiveGreedy_explore
random_i0_n4000_m4000.hgr,324.0
random_i10_n4000_m4000.hgr,323.0
random_i11_n4000_m4000.hgr,315.0
random_i12_n4000_m4000.hgr,303.0
random_i13_n4000_m4000.hgr,310.0
random_i14_n4000_m4000.hgr,307.0
random_i15_n4000_m4000.hgr,314.0
random_i16_n4000_m4000.hgr,314.0
random_i17_n4000_m4000.hgr,318.0
random_i18_n4000_m4000.hgr,315.0
random_i19_n4000_m4000.hgr,318.0
random_i1_n4000_m4000.hgr,309.0
random_i20_n4000_m4000.hgr,317.0
random_i21_n4000_m4000.hgr,323.0
random_i22_n4000_m4000.hgr,319.0
random_i23_n4000_m4000.hgr,319.0
random_i24_n4000_m4000.hgr,322.0
random_i25_n4000_m4000.hgr,324.0
random_i26_n4000_m4000.hgr,322.0
random_i27_n4000_m4000.hgr,306.0
random_i28_n4000_m4000.hgr,314.0
random_i29_n4000_m4000.hgr,322.0
random_i2_n4000_m4000.hgr,322.0
random_i3_n4000_m4000.hgr,318.0
random_i4_n4000_m4000.hgr,310.0
random_i5_n4000_m4000.hgr,336.0
random_i6_n4000_m4000.hgr,319.0
random_i7_n4000_m4000.hgr,328.0
random_i8_n4000_m4000.hgr,314.0
random_i9_n4000_m4000.hgr,318.0
AVERAGE,317.43333333333334
