filename,greedy__generated_nm5degm15,adaptiveGreedy__generated_nm5degm15
50000_0000.hgr,6928.0,6665.0
50000_0001.hgr,6930.0,6672.0
50000_0002.hgr,6939.0,6679.0
50000_0003.hgr,6922.0,6691.0
50000_0004.hgr,6944.0,6704.0
50000_0005.hgr,6884.0,6625.0
50000_0006.hgr,6901.0,6648.0
50000_0007.hgr,6893.0,6653.0
50000_0008.hgr,6925.0,6692.0
50000_0009.hgr,6875.0,6604.0
50000_0010.hgr,6852.0,6638.0
50000_0011.hgr,6931.0,6652.0
50000_0012.hgr,6954.0,6695.0
50000_0013.hgr,6885.0,6653.0
50000_0014.hgr,6879.0,6634.0
50000_0015.hgr,6956.0,6710.0
50000_0016.hgr,6928.0,6676.0
50000_0017.hgr,6916.0,6661.0
50000_0018.hgr,6923.0,6670.0
50000_0019.hgr,6959.0,6662.0
50000_0020.hgr,6950.0,6670.0
50000_0021.hgr,6900.0,6681.0
50000_0022.hgr,6844.0,6609.0
50000_0023.hgr,6953.0,6676.0
50000_0024.hgr,6880.0,6651.0
50000_0025.hgr,6955.0,6669.0
50000_0026.hgr,6881.0,6632.0
50000_0027.hgr,6868.0,6665.0
50000_0028.hgr,6880.0,6641.0
50000_0029.hgr,6896.0,6658.0
50000_0030.hgr,6908.0,6650.0
50000_0031.hgr,6947.0,6661.0
50000_0032.hgr,6969.0,6733.0
50000_0033.hgr,6919.0,6679.0
50000_0034.hgr,6858.0,6618.0
50000_0035.hgr,6929.0,6691.0
50000_0036.hgr,6937.0,6656.0
50000_0037.hgr,6948.0,6660.0
50000_0038.hgr,6904.0,6658.0
50000_0039.hgr,6873.0,6621.0
50000_0040.hgr,6881.0,6606.0
50000_0041.hgr,6865.0,6644.0
50000_0042.hgr,6893.0,6698.0
50000_0043.hgr,6903.0,6688.0
50000_0044.hgr,6908.0,6631.0
50000_0045.hgr,6928.0,6659.0
50000_0046.hgr,6954.0,6656.0
50000_0047.hgr,6963.0,6720.0
50000_0048.hgr,6942.0,6694.0
50000_0049.hgr,6977.0,6703.0
AVERAGE,6914.74,6663.24
