filename,greedy__pace23,adaptiveGreedy__pace23
heuristic_001.hgr,983.0,981.0
heuristic_002.hgr,816.0,816.0
heuristic_003.hgr,1131.0,1127.0
heuristic_004.hgr,1132.0,1127.0
heuristic_005.hgr,1127.0,1127.0
heuristic_006.hgr,1439.0,1440.0
heuristic_007.hgr,1494.0,1490.0
heuristic_008.hgr,1883.0,1878.0
heuristic_009.hgr,2152.0,2139.0
heuristic_010.hgr,2241.0,2234.0
heuristic_011.hgr,2808.0,2800.0
heuristic_012.hgr,2894.0,2887.0
heuristic_013.hgr,3244.0,3232.0
heuristic_014.hgr,4471.0,4455.0
heuristic_015.hgr,5237.0,5219.0
heuristic_016.hgr,6186.0,6169.0
heuristic_017.hgr,5143.0,5123.0
heuristic_018.hgr,9311.0,9297.0
heuristic_019.hgr,9325.0,9324.0
heuristic_020.hgr,4549.0,4532.0
heuristic_021.hgr,7092.0,7084.0
heuristic_022.hgr,6574.0,6569.0
heuristic_023.hgr,9577.0,9541.0
heuristic_024.hgr,10385.0,10349.0
heuristic_025.hgr,5496.0,5483.0
heuristic_026.hgr,8066.0,8064.0
heuristic_027.hgr,9909.0,9864.0
heuristic_028.hgr,10280.0,10234.0
heuristic_029.hgr,14121.0,14128.0
heuristic_030.hgr,11627.0,11588.0
heuristic_031.hgr,4866.0,4846.0
heuristic_032.hgr,10545.0,10543.0
heuristic_033.hgr,15099.0,15028.0
heuristic_034.hgr,15031.0,15031.0
heuristic_035.hgr,13437.0,13228.0
heuristic_036.hgr,16648.0,16517.0
heuristic_037.hgr,20214.0,20191.0
heuristic_038.hgr,14801.0,14510.0
heuristic_039.hgr,18879.0,18879.0
heuristic_040.hgr,17506.0,17464.0
heuristic_041.hgr,21970.0,21957.0
heuristic_042.hgr,8203.0,8124.0
heuristic_043.hgr,11152.0,11112.0
heuristic_044.hgr,8209.0,8122.0
heuristic_045.hgr,1762.0,1755.0
heuristic_046.hgr,19059.0,19016.0
heuristic_047.hgr,19059.0,19016.0
heuristic_048.hgr,19725.0,19644.0
heuristic_049.hgr,18925.0,18916.0
heuristic_050.hgr,14298.0,14281.0
heuristic_051.hgr,15548.0,15501.0
heuristic_052.hgr,22663.0,22644.0
heuristic_053.hgr,23754.0,23717.0
heuristic_054.hgr,23754.0,23717.0
heuristic_055.hgr,17309.0,17122.0
heuristic_056.hgr,25298.0,25298.0
heuristic_057.hgr,26645.0,26572.0
heuristic_058.hgr,20910.0,20918.0
heuristic_059.hgr,26256.0,26238.0
heuristic_060.hgr,28482.0,28445.0
heuristic_061.hgr,20775.0,20605.0
heuristic_062.hgr,27514.0,27385.0
heuristic_063.hgr,14474.0,14462.0
heuristic_064.hgr,23754.0,23627.0
heuristic_065.hgr,35177.0,35100.0
heuristic_066.hgr,24758.0,24591.0
heuristic_067.hgr,22296.0,22296.0
heuristic_068.hgr,28090.0,28051.0
heuristic_069.hgr,29400.0,28700.0
heuristic_070.hgr,28651.0,28257.0
heuristic_071.hgr,8843.0,8842.0
heuristic_072.hgr,27683.0,27389.0
heuristic_073.hgr,20676.0,20676.0
heuristic_074.hgr,33718.0,33197.0
heuristic_075.hgr,27365.0,27017.0
heuristic_076.hgr,49191.0,49172.0
heuristic_077.hgr,51598.0,51595.0
heuristic_078.hgr,39971.0,39934.0
heuristic_079.hgr,22182.0,22110.0
heuristic_080.hgr,54323.0,54295.0
heuristic_081.hgr,46146.0,45725.0
heuristic_082.hgr,57457.0,57181.0
heuristic_083.hgr,34255.0,30562.0
heuristic_084.hgr,44091.0,43451.0
heuristic_085.hgr,58228.0,58153.0
heuristic_086.hgr,60980.0,60980.0
heuristic_087.hgr,46298.0,45709.0
heuristic_088.hgr,59126.0,58963.0
heuristic_089.hgr,60762.0,60106.0
heuristic_090.hgr,50964.0,50935.0
heuristic_091.hgr,50057.0,49871.0
heuristic_092.hgr,68742.0,68624.0
heuristic_093.hgr,900.0,900.0
heuristic_094.hgr,40829.0,40823.0
heuristic_095.hgr,65937.0,65762.0
heuristic_096.hgr,22432.0,22408.0
heuristic_097.hgr,50913.0,50809.0
heuristic_098.hgr,24664.0,24601.0
heuristic_099.hgr,76464.0,76404.0
heuristic_100.hgr,3203.0,3203.0
heuristic_102.hgr,36695.0,36568.0
heuristic_103.hgr,1534.0,1534.0
heuristic_104.hgr,63825.0,62866.0
heuristic_105.hgr,63776.0,62824.0
heuristic_106.hgr,69589.0,69117.0
heuristic_107.hgr,11460.0,11429.0
heuristic_108.hgr,37181.0,34482.0
heuristic_109.hgr,61472.0,61356.0
heuristic_110.hgr,81112.0,80094.0
heuristic_111.hgr,59948.0,59208.0
heuristic_112.hgr,61809.0,61158.0
heuristic_113.hgr,87784.0,87382.0
heuristic_114.hgr,37908.0,36570.0
heuristic_115.hgr,27710.0,27710.0
heuristic_116.hgr,63218.0,61207.0
heuristic_117.hgr,63784.0,61594.0
heuristic_118.hgr,64001.0,61759.0
heuristic_119.hgr,99740.0,99476.0
heuristic_120.hgr,22016.0,21521.0
heuristic_121.hgr,109926.0,109902.0
heuristic_122.hgr,39035.0,38898.0
heuristic_123.hgr,79415.0,78434.0
heuristic_124.hgr,62755.0,62755.0
heuristic_125.hgr,83245.0,82926.0
heuristic_126.hgr,75870.0,75164.0
heuristic_127.hgr,94962.0,94872.0
heuristic_128.hgr,94033.0,93431.0
heuristic_129.hgr,37070.0,37012.0
heuristic_130.hgr,52808.0,49063.0
heuristic_131.hgr,4714.0,4710.0
heuristic_132.hgr,128670.0,128347.0
heuristic_133.hgr,146621.0,146451.0
heuristic_134.hgr,145818.0,145737.0
heuristic_135.hgr,150593.0,150505.0
heuristic_136.hgr,97852.0,93568.0
heuristic_137.hgr,96890.0,92807.0
heuristic_138.hgr,86417.0,85615.0
heuristic_139.hgr,104042.0,103503.0
heuristic_140.hgr,102897.0,98256.0
heuristic_141.hgr,148329.0,148173.0
heuristic_142.hgr,136766.0,136325.0
heuristic_143.hgr,121331.0,120305.0
heuristic_144.hgr,27710.0,27613.0
heuristic_145.hgr,73930.0,73930.0
heuristic_146.hgr,136952.0,135766.0
heuristic_147.hgr,181216.0,180425.0
heuristic_148.hgr,208246.0,208233.0
heuristic_149.hgr,93709.0,93378.0
heuristic_150.hgr,98615.0,98129.0
heuristic_151.hgr,219583.0,219127.0
heuristic_152.hgr,219583.0,219127.0
heuristic_153.hgr,137357.0,137121.0
heuristic_154.hgr,18319.0,18318.0
heuristic_155.hgr,200124.0,194699.0
heuristic_156.hgr,194680.0,188870.0
heuristic_157.hgr,198113.0,192131.0
heuristic_158.hgr,191588.0,182844.0
heuristic_159.hgr,98873.0,98873.0
heuristic_160.hgr,95621.0,94114.0
heuristic_161.hgr,190310.0,190309.0
heuristic_162.hgr,94929.0,94329.0
heuristic_163.hgr,458.0,458.0
